기준일,시간대,자치구,남자0-9세,남자10-14세,남자15-19세,남자20-24세,남자25-29세,남자30-34세,남자35-39세,남자40-44세,남자45-49세,남자50-54세,남자55-59세,남자60-64세,남자65-69세,남자70세이상,여자0-9세,여자10-14세,여자15-19세,여자20-24세,여자25-29세,여자30-34세,여자35-39세,여자40-44세,여자45-49세,여자50-54세,여자55-59세,여자60-64세,여자65-69세,여자70세이상
20200110,0,양천구,17756.8544,12509.1277,15140.0592,11141.6433,12324.2531,11912.255,15341.3703,16467.5277,19730.7155,15828.0781,15078.3203,12410.7771,9159.4007,17316.5736,16492.3797,11291.5981,13917.3446,12687.0597,13977.3204,13851.5399,17240.7585,18005.4929,20534.9742,16759.0349,17244.6099,15361.46,11383.8428,27001.5568
20200110,0,강서구,21768.6626,9994.422,12913.0925,14274.4495,21939.7364,24113.2646,27756.8874,23098.2017,22872.9272,17508.3682,19082.6725,16325.0897,12543.1324,24212.1171,20968.6597,9570.2006,12948.0996,18749.8816,26663.2662,26866.922,27067.3589,22417.9745,21724.9208,18914.6454,22945.8859,21147.1004,15713.7526,37346.6897
20200110,0,구로구,14937.9684,6690.4409,8106.3867,10300.7395,14714.5314,15910.0312,19028.617,17931.1526,17797.3866,13583.3093,14753.9652,12195.293,9117.3708,17611.1377,15885.9965,6887.695,8472.5208,12929.2339,16268.1862,16260.5104,17876.4711,15519.6248,15916.6035,13967.0275,16401.7497,14723.2591,11307.7503,25420.1149
20200110,0,금천구,5753.1759,2786.9637,3823.4351,5645.4166,10274.0083,10252.3169,10751.2716,8796.5239,9186.5311,7674.4601,8430.1331,6881.6696,5131.8196,8991.3451,6080.373,3054.6881,3670.6991,6929.3112,9428.1592,8633.8768,8740.7885,7193.6558,8165.3799,7757.7365,8817.0359,7890.5055,5884.547,12660.9445
20200110,0,영등포구,13298.0393,5942.2588,8001.1771,10566.8824,18404.2089,20173.2018,22161.481,17942.3699,18369.9847,14943.4042,15259.403,12279.9966,8863.1153,17602.5551,13167.3041,5522.4497,7378.2689,14615.5284,20708.0777,19909.9903,19114.9561,15630.6116,15154.8238,14006.3647,15840.1215,14287.7696,10254.0494,25766.6304
20200110,0,동작구,13533.9038,6402.9755,9633.2782,16703.467,23293.7587,18449.0048,17957.5075,15477.6812,16123.0969,12740.2101,13331.6687,11906.1475,8555.4027,19431.2546,13884.5756,6402.6681,9719.2891,21074.925,22150.7283,17762.3935,18247.1904,15836.8705,15778.5324,14622.1039,16860.4804,15341.0584,11707.972,30595.6335
20200110,0,관악구,12727.0502,6263.4177,10613.1802,23184.5915,39070.9979,30432.6483,24982.3787,19719.6008,20514.8144,15325.8155,15624.5934,13034.9671,10073.8179,22447.0529,12848.3782,6222.2431,10611.2668,31310.5524,37341.6036,25860.4483,21597.0911,17237.8268,17425.5615,16436.7758,18869.7307,17023.1437,13845.8309,32621.6253
20200110,0,서초구,17522.0138,9897.1318,13409.6647,13992.4434,17098.0696,17991.8536,22701.7035,22631.052,25269.1083,18197.0821,16453.8901,13289.5949,10250.8196,20682.5102,19102.449,10680.1202,14433.0715,16431.0343,18905.4258,20053.7192,24016.1509,22404.2882,22878.9398,17230.0244,17529.9852,16679.8072,12892.9858,30754.1494
20200110,0,강남구,22410.0028,14916.1839,22427.8026,18604.1924,26419.332,28059.3249,34281.1452,32776.1022,34855.9834,25844.6229,21052.9032,17303.821,13058.4757,25971.9275,21749.6184,13913.1184,22126.8216,25242.6162,29793.7857,30130.4991,33122.9816,31125.642,31938.0787,22318.2307,22227.3251,21039.6977,16205.5102,38756.9217
20200110,0,송파구,29702.2457,15262.192,20330.432,19091.2322,26949.6127,28986.514,35576.6688,31497.6242,32296.5385,26127.7491,26899.6476,23088.7809,16970.7476,29185.6313,29696.5788,15684.2526,20322.5725,23908.3333,31088.271,33769.6846,36956.8602,31616.0202,32762.4732,27761.8054,32015.6825,28835.8559,20897.2495,44430.6291
20200110,0,강동구,21515.8575,11532.1463,14960.9998,13290.2305,16611.6527,17407.676,21876.2786,20868.1917,21730.5664,17932.3025,19567.4401,16891.1918,12482.0156,23321.243,18979.8432,9861.7069,13820.1892,15751.6739,18565.4866,19031.1447,22938.2287,21058.9302,21887.3423,19944.8154,23764.4127,21841.4759,16128.4583,34836.314
20200110,1,종로구,5202.2859,3075.2479,5498.8836,9477.7457,9741.0703,7898.3973,8733.1701,8296.8049,10093.1568,8448.0405,8548.0118,6965.1496,4892.0311,10804.8097,4487.4803,2688.371,5424.0712,10421.5475,8636.61,7432.7997,8142.1007,7668.7776,9554.077,7796.5853,8818.7121,7483.4296,5733.269,16553.1776
20200110,1,중구,3702.7701,1524.2888,2885.4448,6202.6297,8628.458,9231.589,10684.1162,8823.2624,8588.9943,6913.4907,7328.3407,5747.1775,3987.0862,7663.607,3856.0123,1656.6024,3093.9619,7879.8679,8975.4184,8521.5606,9457.17,7154.7237,7622.6954,6239.3483,7217.1414,6514.6965,4663.0976,11403.551
20200110,1,용산구,7258.1349,3628.2062,5528.7542,8600.1658,11006.2497,12029.0643,13733.5743,11567.033,12203.2051,9496.8581,8944.5138,7375.7771,5002.0508,10603.4989,7051.8225,3482.9272,5277.563,10356.8426,12396.0069,12495.5664,13117.4348,10461.3583,10802.3813,8606.237,9596.9933,8560.0413,6299.5734,17852.4579
20200110,1,성동구,12554.7004,5369.7206,7000.3199,11177.5115,14252.2341,13909.5028,16389.5406,13813.6162,14158.4081,11337.9415,12199.5925,9624.0023,6758.801,13454.7028,11974.3922,5326.8543,7582.1345,13831.4087,15046.072,15269.5253,16796.9397,13031.3176,13420.9482,11372.1298,13241.083,11906.3799,8575.3009,22623.3867
20200110,1,광진구,11665.5952,6371.0464,10118.7734,15246.3715,18672.6267,15979.3749,15856.3365,13804.4718,15079.031,12944.0443,13586.8575,10658.9657,7162.8099,14334.3484,11469.9253,6394.1936,10044.6587,19744.2781,20656.822,17452.919,16533.1929,14320.6899,15603.5231,14219.1986,15086.592,13227.7051,9260.085,21721.9317
20200110,1,동대문구,11179.8023,5590.0746,8056.0802,15545.472,16518.1447,13216.0652,14930.1739,13761.7142,14216.8983,11767.8895,13088.3251,10722.5712,8190.332,17469.6505,10401.3336,5179.0751,8969.0021,20653.8456,15836.6993,13288.3957,14547.1081,12547.6352,13113.6815,12186.0496,13598.2631,13063.9055,9596.6311,28863.8211
20200110,1,중랑구,13889.2314,6692.5862,8663.6725,10739.0357,14003.5029,13536.3551,16491.0303,14388.6581,15236.053,14812.6389,15584.4233,13113.6636,9554.0522,18970.8815,12937.3635,6182.8705,8547.4856,13174.2601,15568.8542,14811.2978,16312.4724,13325.7544,15779.3079,15997.5598,18498.3399,15752.6036,11787.6573,30577.1517
20200110,1,성북구,16998.7762,9504.1865,12296.2083,16311.2651,17166.4652,13789.8154,16735.0011,15954.9127,18744.8856,14709.6964,15408.6908,12916.1859,9227.0985,21004.4351,16395.2681,9003.8401,13031.7615,23134.0965,17752.0817,15398.9996,18154.9181,17079.926,19245.4983,16415.9302,18184.5398,15798.4413,12588.2938,35604.2467
20200110,1,강북구,10536.279,5778.7346,7920.932,9607.1424,10925.0422,10103.1315,11994.2663,11517.8709,13485.9687,11498.1903,12405.4212,10296.7284,8048.5585,19575.6798,9754.3568,5333.3172,8086.0241,13198.1723,12109.9733,10082.7647,11906.1063,11347.036,14335.0003,13131.9524,14831.0515,13367.3799,10820.3117,32117.3224
20200110,1,도봉구,10002.1009,5567.0652,7512.426,8145.0998,9431.2473,8870.9785,10972.8894,10045.0695,11811.4355,10190.9515,11546.7388,10603.5271,7617.6164,16358.9806,9008.9974,5080.8196,7295.3086,10253.2529,10295.3632,9842.2867,11098.3569,10108.6662,12763.6614,12188.072,14249.9227,13016.1312,9507.1758,25838.6642
